"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"IMI";"IPT"
"134";"22002014009P6";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"PARTICULAR";"PRIVADA";2015;"PROFISSIONAL";"3";0,597642469470828;0,0333333333333333
"135";"22003010001P1";"MEDICINA VETERINÁRIA";"ESTADUAL";"PÚBLICA";1990;"ACADÊMICO";"6";0,406783661740558;0,333333333333333
"136";"22003010004P0";"SAÚDE COLETIVA";"ESTADUAL";"PÚBLICA";1994;"ACADÊMICO";"4";0,49350423127597;0,0666666666666667
"137";"22003010006P3";"GEOGRAFIA";"ESTADUAL";"PÚBLICA";1996;"ACADÊMICO";"4";0,334836990351696;0,0392156862745098
"138";"22003010012P3";"ENFERMAGEM";"ESTADUAL";"PÚBLICA";2005;"ACADÊMICO";"4";0,344375767813268;0,0166666666666667
"139";"22003010013P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ESTADUAL";"PÚBLICA";2005;"ACADÊMICO";"4";0,493446543948776;0,153846153846154
"140";"22003010014P6";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2005;"ACADÊMICO";"3";0,590177068302068;0,0476190476190476
"141";"22003010016P9";"CIÊNCIA DA COMPUTAÇÃO";"ESTADUAL";"PÚBLICA";2006;"PROFISSIONAL";"3";0,665859111952862;0,0740740740740741
"142";"22003010022P9";"NUTRIÇÃO";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,552982826352392;0,538461538461538
"143";"22003010071P0";"SAÚDE COLETIVA";"ESTADUAL";"PÚBLICA";2016;"PROFISSIONAL";"3";0,478375137933961;0,0392156862745098
"144";"22004017003P0";"GEOGRAFIA";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,494697159565581;0,0222222222222222
"145";"22005013001P4";"BIODIVERSIDADE";"ESTADUAL";"PÚBLICA";2007;"ACADÊMICO";"4";0,547303877673059;0,0114942528735632
"146";"22021019001P2";"BIOTECNOLOGIA";"PARTICULAR";"PRIVADA";2014;"ACADÊMICO";"3";0,827698412698413;0,0833333333333333
"147";"23001011008P6";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";1983;"ACADÊMICO";"4";0,376970443349754;0,160493827160494
"148";"23001011009P2";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";1983;"ACADÊMICO";"4";0,417057768620269;0,351851851851852
"149";"23001011011P7";"ENGENHARIAS II";"FEDERAL";"PÚBLICA";1988;"ACADÊMICO";"4";0,372942773600668;0,0833333333333333
"150";"23001011012P3";"QUÍMICA";"FEDERAL";"PÚBLICA";1990;"ACADÊMICO";"4";0,383118793494409;0,680555555555555
"151";"23001011020P6";"CIÊNCIAS BIOLÓGICAS II";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";0,443347962066182;0,222222222222222
"152";"23001011021P2";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"3";0,584583953373016;0,388888888888889
"153";"23001011022P9";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"5";0,393158168907223;0,0246913580246914
"154";"23001011025P8";"PSICOLOGIA";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"5";0,334008593568465;0,0185185185185185
"155";"23001011026P4";"MATERIAIS";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"6";0,43372088592159;0,4375
"156";"23001011029P3";"ENFERMAGEM";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";0,272245019640853;0,0416666666666667
"157";"23001011031P8";"MEDICINA II";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";0,464451713028446;0,233333333333333
"158";"23001011032P4";"ENSINO";"FEDERAL";"PÚBLICA";2002;"PROFISSIONAL";"4";0,526657188331039;0,0158730158730159
"159";"23001011033P0";"ODONTOLOGIA";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";0,387799754778804;0,0229885057471264
"160";"23001011035P3";"CIÊNCIAS BIOLÓGICAS I";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"3";0,552365819209039;0,208333333333333
"161";"23001011036P0";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";0,616120446159062;0,12962962962963
"162";"23001011040P7";"FARMÁCIA";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";0,414187129919888;0,303030303030303
"163";"23001011041P3";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";0,462001017593123;0,333333333333333
"164";"23001011042P0";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";0,508420456396296;0,0526315789473684
"165";"23001011043P6";"EDUCAÇÃO FÍSICA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";0,378821154898741;0,0238095238095238
"166";"23001011051P9";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,472168374925728;0,0416666666666667
"167";"23001011054P8";"CIÊNCIAS BIOLÓGICAS II";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";0,521504027105192;0,0277777777777778
"168";"23001011056P0";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";0,450814298612473;0,0769230769230769
"169";"23001011059P0";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";0,423445048309179;0,0222222222222222
"170";"23001011060P8";"EDUCAÇÃO FÍSICA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,441618048299083;0,148148148148148
"171";"23001011061P4";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,558822554574843;0,0222222222222222
"172";"23001011063P7";"ENSINO";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";0,535019841269841;0,350877192982456
"173";"23001011067P2";"ARTES / MÚSICA";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,537513169034706;0,0769230769230769
