"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"FCDo";"CC";"CP";"IMI"
"404";"24004014006P5";"ENSINO";"ESTADUAL";"PÚBLICA";2007;"PROFISSIONAL";"4";0,555555555555556;0,493055555555556;0,671739130434783;0,573450080515298
"405";"24004014007P1";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"ESTADUAL";"PÚBLICA";2008;"ACADÊMICO";"4";0,733333333333333;0,584703947368421;0,372222222222222;0,563419834307992
"406";"24004014008P8";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"ESTADUAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,703703703703704;0,576923076923077;0,503125;0,594583926875594
"407";"24004014009P4";"SAÚDE COLETIVA";"ESTADUAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,6875;0,545535714285714;0,477777777777778;0,570271164021164
"408";"24004014010P2";"ODONTOLOGIA";"ESTADUAL";"PÚBLICA";2009;"ACADÊMICO";"4";0,333333333333333;0,45281862745098;0,369444444444444;0,385198801742919
"409";"24004014013P1";"EDUCAÇÃO";"ESTADUAL";"PÚBLICA";2011;"PROFISSIONAL";"3";0,4;0,636363636363636;0,532017543859649;0,522793726741095
"410";"24004014014P8";"FARMÁCIA";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,7;0,625;0,45;0,591666666666667
"411";"24004014015P4";"SERVIÇO SOCIAL";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,5;0,501149425287356;0,503205128205128;0,501451517830828
"412";"24004014017P7";"ENSINO";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,625;0,543478260869565;0,692857142857143;0,620445134575569
"413";"24004014018P3";"PSICOLOGIA";"ESTADUAL";"PÚBLICA";2015;"ACADÊMICO";"3";0,566666666666667;0,55;0,4875;0,534722222222222
