"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QPPP";"SPPAP";"QPPr";"QPA";"iQPP";"iQPPr";"iQPA";"IPT"
"1802";"32014015010P7";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2014;"PROFISSIONAL";"3";13;2;0;0;0,153846153846154;0;0;0,0512820512820513
"1803";"32014015011P3";"GEOGRAFIA";"ESTADUAL";"PÚBLICA";2014;"ACADÊMICO";"3";11;0;0;0;0;0;0;0
"1804";"32014015101P2";"ECONOMIA";"ESTADUAL";"PÚBLICA";2016;"PROFISSIONAL";"3";10;0;0;0;0;0;0;0
"1805";"32016018001P0";"ZOOTECNIA / RECURSOS PESQUEIROS";"PARTICULAR";"PRIVADA";2002;"ACADÊMICO";"4";13;0;0;1;0;0;0,0769230769230769;0,0256410256410256
"1806";"32016018002P7";"CIÊNCIAS AGRÁRIAS I";"PARTICULAR";"PRIVADA";2006;"PROFISSIONAL";"4";12;0;0;3;0;0;0,25;0,0833333333333333
"1807";"32016018003P3";"MEDICINA VETERINÁRIA";"PARTICULAR";"PRIVADA";2009;"ACADÊMICO";"3";12;0;0;3;0;0;0,25;0,0833333333333333
"1808";"32016018004P0";"MEDICINA II";"PARTICULAR";"PRIVADA";2016;"PROFISSIONAL";"3";11;0;0;0;0;0;0;0
"1809";"32016018005P6";"CIÊNCIAS AGRÁRIAS I";"PARTICULAR";"PRIVADA";2016;"ACADÊMICO";"4";14;0;0;0;0;0;0;0
"1810";"32018010001P3";"MATERIAIS";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";16;6;0;0;0,375;0;0;0,125
"1811";"32018010002P0";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";16;0;0;0;0;0;0;0
"1812";"32018010003P6";"HISTÓRIA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";16;0;0;0;0;0;0;0
"1813";"32018010004P2";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";17;0;0;0;0;0;0;0
"1814";"32018010005P9";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";20;0;0;0;0;0;0;0
"1815";"32018010006P5";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";7;2;0;0;0,285714285714286;0;0;0,0952380952380952
