"";"CD_PROGRAMA_IES";"SPPAP"
"430";"31003010015P1";2
"431";"31003010017P4";4
"432";"31003010019P7";1
"433";"31003010024P0";11
"434";"31003010025P7";2
"435";"31003010027P0";6
"436";"31003010029P2";1
"437";"31003010032P3";2
"438";"31003010044P1";1
"439";"31003010045P8";3
"440";"31003010055P3";1
"441";"31003010064P2";2
"442";"31003010068P8";5
"443";"31003010076P0";1
"444";"31003010079P0";11
"445";"31003010087P2";2
"446";"31003010089P5";2
"447";"31003010091P0";1
"448";"31004016008P8";1
"449";"31004016021P4";3
"450";"31004016022P0";1
"451";"31004016035P5";1
"452";"31004016038P4";3
"453";"31004016041P5";1
"454";"31004016043P8";1
"455";"31004016044P4";11
"456";"31004016049P6";2
"457";"31004016053P3";1
"458";"31004016054P0";1
"459";"31004016055P6";2
"460";"31004016063P9";1
"461";"31004016156P7";1
"462";"31005012002P6";1
"463";"31005012005P5";2
"464";"31005012010P9";1
"465";"31005012011P5";5
"466";"31005012012P1";5
"467";"31005012013P8";5
"468";"31005012014P4";4
"469";"31005012027P9";1
"470";"31007015003P5";2
"471";"31009018003P8";5
"472";"31010016001P0";47
"473";"31010016002P6";1
"474";"31010016003P2";2
"475";"31010016004P9";15
"476";"31010016015P0";1
"477";"31010016021P0";4
"478";"31010016022P7";1
"479";"31010016023P3";9
"480";"31010016025P6";2
"481";"31010016028P5";3
"482";"31010016030P0";2
"483";"31013015002P5";1
"484";"31018017012P2";1
"485";"31021018002P4";1
"486";"31021018017P1";1
"487";"31021018021P9";1
"488";"31022014007P2";1
"489";"31027016003P9";1
"490";"31027016004P5";1
"491";"31030017001P3";1
"492";"31030017003P6";1
"493";"31030017004P2";2
"494";"31030017005P9";1
"495";"31033016001P2";3
"496";"31033016002P9";7
"497";"31033016005P8";18
"498";"31033016008P7";1
"499";"31033016009P3";1
"500";"31033016012P4";5
"501";"31033016013P0";5
"502";"31033016015P3";4
"503";"31036015001P1";2
"504";"31040012001P5";2
"505";"31040012002P1";1
"506";"31050018002P3";2
"507";"31056016001P5";4
"508";"31058019002P4";3
"509";"31063012001P8";8
"510";"31067018002P0";12
"511";"31068014001P0";2
"512";"31068014002P6";1
"513";"31069010001P6";5
"514";"31069010002P2";2
"515";"31075010001P2";1
"516";"31102000001P6";28
"517";"31106005001P8";1
"518";"32001010002P3";11
"519";"32001010005P2";65
"520";"32001010006P9";24
"521";"32001010007P5";18
"522";"32001010008P1";21
"523";"32001010009P8";10
"524";"32001010010P6";23
"525";"32001010014P1";2
"526";"32001010015P8";8
"527";"32001010016P4";11
"528";"32001010017P0";10
"529";"32001010018P7";4
"530";"32001010019P3";3
"531";"32001010022P4";5
"532";"32001010023P0";27
"533";"32001010025P3";4
"534";"32001010029P9";2
"535";"32001010031P3";3
"536";"32001010038P8";2
"537";"32001010040P2";2
"538";"32001010042P5";9
"539";"32001010044P8";10
"540";"32001010045P4";1
"541";"32001010050P8";4
"542";"32001010054P3";3
"543";"32001010055P0";11
"544";"32001010061P0";1
"545";"32001010068P4";32
"546";"32001010071P5";1
"547";"32001010073P8";2
"548";"32001010079P6";3
"549";"32001010085P6";31
"550";"32001010091P6";1
"551";"32001010093P9";4
"552";"32001010094P5";3
"553";"32001010095P1";6
"554";"32001010096P8";1
"555";"32001010171P0";19
"556";"32002017003P6";4
"557";"32002017004P2";1
"558";"32002017007P1";3
"559";"32002017011P9";9
"560";"32002017012P5";2
"561";"32002017013P1";2
"562";"32002017015P4";9
"563";"32002017022P0";5
"564";"32002017023P7";29
"565";"32002017030P3";3
"566";"32002017032P6";2
"567";"32002017036P1";4
"568";"32002017039P0";1
"569";"32002017040P9";2
"570";"32002017047P3";3
"571";"32002017049P6";2
"572";"32002017050P4";1
"573";"32003013001P0";1
"574";"32003013002P6";3
"575";"32003013003P2";2
"576";"32003013005P5";25
"577";"32003013009P0";6
"578";"32003013011P5";1
"579";"32004010001P0";1
"580";"32004010002P6";8
"581";"32004010005P5";1
"582";"32004010007P8";1
"583";"32004010008P4";5
"584";"32004010009P0";2
"585";"32004010012P1";1
"586";"32004010013P8";8
"587";"32004010014P4";8
"588";"32004010016P7";2
"589";"32004010017P3";1
"590";"32004010018P0";5
"591";"32004010020P4";3
"592";"32004010024P0";1
"593";"32004010025P6";1
"594";"32004010027P9";2
"595";"32004010028P5";4
"596";"32004010029P1";1
"597";"32004010031P6";4
"598";"32005016005P8";7
"599";"32005016008P7";2
"600";"32005016009P3";9
"601";"32005016014P7";6
"602";"32005016015P3";10
"603";"32005016017P6";1
"604";"32005016018P2";5
"605";"32005016023P6";1
"606";"32005016029P4";3
"607";"32005016032P5";16
"608";"32005016034P8";1
"609";"32005016039P0";20
"610";"32006012001P9";2
"611";"32006012002P5";30
"612";"32006012004P8";9
"613";"32006012005P4";17
"614";"32006012006P0";27
"615";"32006012008P3";20
"616";"32006012011P4";11
"617";"32006012015P0";4
"618";"32006012016P6";3
"619";"32006012017P2";5
"620";"32006012018P9";1
"621";"32006012030P9";6
"622";"32006012031P5";2
"623";"32006012034P4";2
"624";"32006012037P3";1
"625";"32007019005P0";3
"626";"32007019006P7";3
"627";"32007019007P3";4
"628";"32007019011P0";3
"629";"32007019014P0";7
"630";"32007019020P0";10
"631";"32007019022P2";2
"632";"32007019023P9";1
"633";"32007019025P1";1
"634";"32007019029P7";9
"635";"32007019051P2";2
"636";"32008015002P8";2
"637";"32008015004P0";5
"638";"32008015009P2";15
"639";"32008015014P6";14
"640";"32010010002P2";1
"641";"32010010004P5";9
"642";"32010010009P7";5
"643";"32010010010P5";2
"644";"32010010013P4";1
"645";"32011016003P1";6
"646";"32011016004P8";3
"647";"32011016006P0";1
"648";"32011016007P7";1
"649";"32011016009P0";1
"650";"32011016010P8";3
"651";"32011016011P4";1
"652";"32011016040P4";2
"653";"32012012006P7";2
"654";"32012012009P6";1
"655";"32012012171P8";1
"656";"32014015004P7";2
"657";"32014015006P0";1
"658";"32014015009P9";4
"659";"32014015010P7";2
"660";"32018010001P3";6
"661";"32018010006P5";2
"662";"32018010007P1";3
"663";"32018010008P8";7
"664";"32018010009P4";1
"665";"32018010010P2";2
"666";"32018010011P9";16
"667";"32018010013P1";4
"668";"32018010015P4";1
"669";"32020015002P0";2
"670";"32020015004P3";4
"671";"32020015005P0";3
"672";"32020015007P2";1
"673";"32025017002P2";6
"674";"32036019002P0";1
"675";"32036019003P7";1
"676";"32044011001P3";3
"677";"32053010005P4";2
"678";"32057016001P4";4
"679";"32067011001P6";15
"680";"32069014001P9";3
"681";"32073011003P5";9
"682";"32073011004P1";4
"683";"32145012001P7";1
"684";"33001014003P2";2
"685";"33001014004P9";35
"686";"33001014005P5";18
"687";"33001014006P1";17
"688";"33001014011P5";1
"689";"33001014013P8";4
"690";"33001014016P7";1
"691";"33001014018P0";1
"692";"33001014020P4";33
"693";"33001014024P0";2
"694";"33001014028P5";1
"695";"33001014032P2";1
"696";"33001014034P5";2
"697";"33001014037P4";3
"698";"33001014042P8";4
"699";"33001014048P6";1
"700";"33001014051P7";5
"701";"33002010002P2";3
"702";"33002010004P5";1
"703";"33002010017P0";1
"704";"33002010018P6";4
"705";"33002010021P7";4
"706";"33002010022P3";4
