"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QFGDi";"QDP";"DFGDi";"FCDi"
"74";"13003011001P6";"ENSINO";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";23;54;0,425925925925926;0,425925925925926
"75";"13003011004P5";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2016;"PROFISSIONAL";"3";28;57;0,491228070175439;0,491228070175439
"76";"14001012001P6";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";43;61;0,704918032786885;0,704918032786885
"77";"14001012004P5";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";40;97;0,412371134020619;0,412371134020619
"78";"14001012005P1";"FARMÁCIA";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";32;51;0,627450980392157;0,627450980392157
"79";"14001012156P0";NA;NA;NA;NA;NA;NA;19;21;0,904761904761905;0,904761904761905
"80";"14001012157P6";NA;NA;NA;NA;NA;NA;31;49;0,63265306122449;0,63265306122449
"81";"14001012158P2";NA;NA;NA;NA;NA;NA;25;28;0,892857142857143;0,892857142857143
"82";"15001016002P5";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";1977;"ACADÊMICO";"5";38;113;0,336283185840708;0,336283185840708
"83";"15001016003P1";"DIREITO";"FEDERAL";"PÚBLICA";1984;"ACADÊMICO";"4";16;57;0,280701754385965;0,280701754385965
"84";"15001016004P8";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";1986;"ACADÊMICO";"5";36;156;0,230769230769231;0,230769230769231
"85";"15001016007P7";"QUÍMICA";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";13;66;0,196969696969697;0,196969696969697
"86";"15001016008P3";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";34;177;0,192090395480226;0,192090395480226
"87";"15001016009P0";"PSICOLOGIA";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"5";22;89;0,247191011235955;0,247191011235955
"88";"15001016010P8";"ENGENHARIAS II";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"3";26;53;0,490566037735849;0,490566037735849
"89";"15001016015P0";"MEDICINA II";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";29;96;0,302083333333333;0,302083333333333
"90";"15001016016P6";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"4";8;29;0,275862068965517;0,275862068965517
"91";"15001016017P2";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"6";19;79;0,240506329113924;0,240506329113924
"92";"15001016018P9";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"3";56;145;0,386206896551724;0,386206896551724
"93";"15001016022P6";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";5;51;0,0980392156862745;0,0980392156862745
"94";"15001016027P8";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"3";12;22;0,545454545454545;0,545454545454545
"95";"15001016028P4";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";16;43;0,372093023255814;0,372093023255814
"96";"15001016030P9";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"4";17;66;0,257575757575758;0,257575757575758
"97";"15001016031P5";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";16;69;0,231884057971014;0,231884057971014
"98";"15001016032P1";"CIÊNCIAS BIOLÓGICAS I";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"6";19;60;0,316666666666667;0,316666666666667
"99";"15001016033P8";"ENSINO";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";26;84;0,30952380952381;0,30952380952381
"100";"15001016034P4";"SOCIOLOGIA";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";31;86;0,36046511627907;0,36046511627907
"101";"15001016035P0";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";22;87;0,252873563218391;0,252873563218391
"102";"15001016036P7";"SERVIÇO SOCIAL";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";21;40;0,525;0,525
"103";"15001016037P3";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";3;27;0,111111111111111;0,111111111111111
"104";"15001016038P0";"CIÊNCIA DE ALIMENTOS";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";17;55;0,309090909090909;0,309090909090909
"105";"15001016039P6";"ODONTOLOGIA";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";2;16;0,125;0,125
"106";"15001016040P4";"CIÊNCIAS BIOLÓGICAS III";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"5";18;57;0,315789473684211;0,315789473684211
"107";"15001016041P0";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";19;42;0,452380952380952;0,452380952380952
"108";"15001016042P7";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";27;65;0,415384615384615;0,415384615384615
"109";"15001016043P3";"HISTÓRIA";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"5";21;86;0,244186046511628;0,244186046511628
"110";"15001016044P0";"CIÊNCIAS BIOLÓGICAS II";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";22;86;0,255813953488372;0,255813953488372
"111";"15001016045P6";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";12;54;0,222222222222222;0,222222222222222
"112";"15001016046P2";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";27;58;0,46551724137931;0,46551724137931
"113";"15001016047P9";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";39;95;0,410526315789474;0,410526315789474
"114";"15001016049P1";"FARMÁCIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";26;47;0,553191489361702;0,553191489361702
"115";"15001016050P0";"ECONOMIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";27;53;0,509433962264151;0,509433962264151
