"";"CD_PROGRAMA_IES";"QPPr"
"806";"53001010016P7";6
"807";"53001010019P6";1
"808";"53001010021P0";10
"809";"53001010031P6";1
"810";"53001010038P0";3
"811";"53001010042P8";3
"812";"53001010045P7";2
"813";"53001010052P3";5
"814";"53001010055P2";1
"815";"53001010067P0";2
"816";"53001010085P9";3
"817";"53001010096P0";3
"818";"53001010100P8";2
"819";"53001010101P4";3
"820";"53001010105P0";1
"821";"53001010109P5";1
"822";"53003012001P9";1
"823";"53003012005P4";3
"824";"53003012007P7";1
"825";"53003012009P0";1
"826";"53003012010P8";1
"827";"53045009001P3";1
