"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QIP";"QPV";"DIPP";"DFPP";"QPP";"DFCP";"CC"
"255";"21001014004P5";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"3";3;8;0,375;1;1;1;0,6875
"256";"21001014005P1";"SERVIÇO SOCIAL";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";2;12;0,166666666666667;1;1;1;0,583333333333333
"257";"21001014007P4";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";2;12;0,166666666666667;1;1;1;0,583333333333333
"258";"21001014008P0";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";3;6;0,5;1,69230769230769;1,38461538461538;1,43076923076923;0,965384615384615
"259";"21001014009P7";"HISTÓRIA";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"3";2;21;0,0952380952380952;2;1,125;1,75;0,922619047619048
"260";"21001014011P1";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";3;11;0,272727272727273;1,08108108108108;1,05405405405405;1,01351351351351;0,643120393120393
"261";"21001014012P8";"ENFERMAGEM";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";3;7;0,428571428571429;1,25;1,40909090909091;1,00189393939394;0,715232683982684
"262";"21001014013P4";"CIÊNCIAS BIOLÓGICAS II";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";2;62;0,032258064516129;1,27272727272727;1,27272727272727;1,06439393939394;0,548326001955034
"263";"21001014014P0";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";6;11;0,545454545454545;1,33333333333333;1,5;0,916666666666667;0,731060606060606
"264";"21001014015P7";"FILOSOFIA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";3;4;0,75;1,36363636363636;1,18181818181818;1,27272727272727;1,01136363636364
"265";"21001014016P3";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";3;22;0,136363636363636;1,0625;1,5;0,859375;0,497869318181818
"266";"21001014017P0";"ANTROPOLOGIA / ARQUEOLOGIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";4;10;0,4;1,57142857142857;1;1,57142857142857;0,985714285714286
"267";"21001014018P6";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";3;50;0,06;2,0625;2;1,04166666666667;0,550833333333333
"268";"21001014019P2";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";3;9;0,333333333333333;1,77777777777778;3,55555555555556;0,648148148148148;0,490740740740741
"269";"21001014020P0";"CIÊNCIA DE ALIMENTOS";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";4;12;0,333333333333333;2;4,2;0,521428571428571;0,427380952380952
"270";"21001014021P7";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";3;15;0,2;1;1,9;0,683333333333333;0,441666666666667
"271";"21001014022P3";"FARMÁCIA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";7;127;0,0551181102362205;1,74545454545455;1,52727272727273;1,18484848484848;0,619983297542353
"272";"21001014023P0";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";13;44;0,295454545454545;1,38709677419355;1,41935483870968;0,983870967741935;0,63966275659824
"273";"21001014024P6";"MATERIAIS";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";9;66;0,136363636363636;1,84615384615385;2,03846153846154;1,03653846153846;0,586451048951049
"274";"21001014025P2";"BIOTECNOLOGIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";5;69;0,072463768115942;1,28571428571429;1,45238095238095;0,932539682539683;0,502501725327812
"275";"21001014026P9";"COMUNICAÇÃO E INFORMAÇÃO";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";2;4;0,5;1,33333333333333;1,22222222222222;1,11111111111111;0,805555555555556
"276";"21001014027P5";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";3;4;0,75;1,29411764705882;1,41176470588235;0,970588235294118;0,860294117647059
"277";"21001014028P1";"ODONTOLOGIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";4;34;0,117647058823529;1,34615384615385;2,30769230769231;0,67948717948718;0,398567119155354
"278";"21001014029P8";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";2;13;0,153846153846154;1,14285714285714;1,28571428571429;0,928571428571429;0,541208791208791
"279";"21001014030P6";"SOCIOLOGIA";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";2;6;0,333333333333333;NA;NA;NA;NA
